município,uf,população estimada
Ipecaetá,BA,14.064
Ipiaú,BA,42.507
Ipirá,BA,59.264
Ipupiara,BA,10.318
Irajuba,BA,6.255
Iramaia,BA,11.060
Iraquara,BA,24.759
Irará,BA,29.509
Irecê,BA,78.425
Itabela,BA,29.563
Itaberaba,BA,68.244
Itabuna,BA,196.676
Itacaré,BA,29.337
Itaeté,BA,13.822
Itagi,BA,14.314
Itagibá,BA,15.792
Itagimirim,BA,6.512
Itaguaçu da Bahia,BA,12.683
Itaju do Colônia,BA,6.157
Itajuípe,BA,19.249
Itamaraju,BA,62.065
Itamari,BA,7.219
Itambé,BA,25.108
Itanagra,BA,6.087
Itanhém,BA,18.258
Itaparica,BA,20.369
Itapé,BA,10.658
Itapebi,BA,9.501
Itapetinga,BA,68.735
Itapicuru,BA,33.254
Itapitanga,BA,10.630
Itaquara,BA,8.448
Itarantim,BA,17.517
Itatim,BA,16.375
Itiruçu,BA,11.261
Itiúba,BA,35.491
Itororó,BA,16.945
Ituaçu,BA,18.493
Ituberá,BA,22.299
Iuiu,BA,11.532
Jaborandi,BA,9.592
Jacaraci,BA,14.901
Jacobina,BA,86.649
Jaguaquara,BA,47.738
Jaguarari,BA,34.440
Jaguaripe,BA,18.300
Jandaíra,BA,9.535
Jequié,BA,168.733
Jeremoabo,BA,39.501
Jiquiriçá,BA,14.066
Jitaúna,BA,14.815
João Dourado,BA,25.799
Juazeiro,BA,254.481
Jucuruçu,BA,9.944
Jussara,BA,16.956
Jussari,BA,6.059
Jussiape,BA,7.585
Lafaiete Coutinho,BA,4.221
Lagoa Real,BA,14.546
Laje,BA,21.704
Lajedão,BA,3.986
Lajedinho,BA,3.621
Lajedo do Tabocal,BA,7.702
Lamarão,BA,9.305
Lapão,BA,26.998
Lauro de Freitas,BA,217.960
Lençóis,BA,11.170
Licínio de Almeida,BA,12.208
Livramento de Nossa Senhora,BA,46.249
Luís Eduardo Magalhães,BA,116.662
Macajuba,BA,10.758
Macarani,BA,22.596
Macaúbas,BA,43.725
Macururé,BA,7.455
Madre de Deus,BA,19.173
Maetinga,BA,7.212
Maiquinique,BA,9.011
Mairi,BA,18.161
Malhada,BA,15.834
Malhada de Pedras,BA,8.972
Manoel Vitorino,BA,14.295
Mansidão,BA,14.484
Maracás,BA,29.197
Maragogipe,BA,37.225
Maraú,BA,25.626
Marcionílio Souza,BA,9.507
Mascote,BA,13.941
Mata de São João,BA,44.839
Matina,BA,10.629
Medeiros Neto,BA,22.925
Miguel Calmon,BA,25.317
Milagres,BA,11.434
Mirangaba,BA,16.185
Mirante,BA,10.523
Monte Santo,BA,49.823
Morpará,BA,8.232
Morro do Chapéu,BA,35.224
Mortugaba,BA,11.487
Mucugê,BA,12.650
Mucuri,BA,40.005
Mulungu do Morro,BA,13.625
Mundo Novo,BA,17.417
Muniz Ferreira,BA,7.443
Muquém do São Francisco,BA,10.796
Muritiba,BA,30.146
Mutuípe,BA,20.612
Nazaré,BA,28.403
Nilo Peçanha,BA,12.418
Nordestina,BA,19.500
Nova Canaã,BA,14.035
Nova Fátima,BA,8.264
Nova Ibiá,BA,6.701
Nova Itarana,BA,8.059
Nova Redenção,BA,7.708
Nova Soure,BA,24.906
Nova Viçosa,BA,41.551
Novo Horizonte,BA,11.565
Novo Triunfo,BA,11.197
Olindina,BA,23.085
Oliveira dos Brejinhos,BA,21.334
Ouriçangas,BA,7.939
Ourolândia,BA,20.037
Palmas de Monte Alto,BA,20.677
Palmeiras,BA,10.819
Paramirim,BA,21.009
Paratinga,BA,30.671
Paripiranga,BA,27.866
Pau Brasil,BA,9.584
Paulo Afonso,BA,119.128
Pé de Serra,BA,13.675
Pedrão,BA,6.415
Pedro Alexandre,BA,14.288
Piatã,BA,20.859
Pilão Arcado,BA,37.272
Pindaí,BA,15.146
Pindobaçu,BA,19.625
Pintadas,BA,10.656
Piraí do Norte,BA,11.429
Piripá,BA,9.255
Piritiba,BA,17.838
Planaltino,BA,8.254
Planalto,BA,24.036
Poções,BA,50.642
Pojuca,BA,33.608
Ponto Novo,BA,18.670
Porto Seguro,BA,181.007
Potiraguá,BA,10.636
Prado,BA,37.241
Presidente Dutra,BA,15.650
Presidente Jânio Quadros,BA,12.986
Presidente Tancredo Neves,BA,29.343
Queimadas,BA,27.362
Quijingue,BA,26.457
Quixabeira,BA,9.815
Rafael Jambeiro,BA,20.146
Remanso,BA,42.746
Retirolândia,BA,14.147
Riachão das Neves,BA,22.323
Riachão do Jacuípe,BA,35.118
Riacho de Santana,BA,32.103
Ribeira do Amparo,BA,14.525
Ribeira do Pombal,BA,56.170
Ribeirão do Largo,BA,10.039
Rio de Contas,BA,13.627
Rio do Antônio,BA,13.520
Rio do Pires,BA,10.801
Rio Real,BA,36.997
Rodelas,BA,10.801
Ruy Barbosa,BA,29.606
Salinas da Margarida,BA,15.568
Salvador,BA,2.568.928
Santa Bárbara,BA,21.723
Santa Brígida,BA,15.421
Santa Cruz Cabrália,BA,30.862
Santa Cruz da Vitória,BA,4.721
Santa Inês,BA,10.628
Santaluz,BA,39.922
Santa Luzia,BA,14.377
Santa Maria da Vitória,BA,40.467
Santana,BA,25.520
Santanópolis,BA,9.023
Santa Rita de Cássia,BA,28.826
Santa Terezinha,BA,10.847
Santo Amaro,BA,58.413
Santo Antônio de Jesus,BA,109.267
Santo Estêvão,BA,54.940
São Desidério,BA,34.783
São Domingos,BA,8.693
São Félix,BA,11.198
São Félix do Coribe,BA,15.740
São Felipe,BA,20.918
São Francisco do Conde,BA,40.932
São Gabriel,BA,19.210
São Gonçalo dos Campos,BA,41.909
São José da Vitória,BA,5.451
São José do Jacuípe,BA,10.556
São Miguel das Matas,BA,10.634
São Sebastião do Passé,BA,42.936
Sapeaçu,BA,18.609
Sátiro Dias,BA,16.485
Saubara,BA,11.842
Saúde,BA,10.715
Seabra,BA,48.530
Sebastião Laranjeiras,BA,9.610
Senhor do Bonfim,BA,77.976
Serra do Ramalho,BA,36.119
Sento Sé,BA,40.147
Serra Dourada,BA,17.580
Serra Preta,BA,18.685
Serrinha,BA,84.428
Serrolândia,BA,13.831
Simões Filho,BA,120.394
Sítio do Mato,BA,13.935
Sítio do Quinto,BA,14.359
Sobradinho,BA,26.959
Souto Soares,BA,17.674
Tabocas do Brejo Velho,BA,12.368
Tanhaçu,BA,21.741
Tanque Novo,BA,17.770
Tanquinho,BA,7.983
Taperoá,BA,18.571
Tapiramutá,BA,16.253
Teixeira de Freitas,BA,153.332
Teodoro Sampaio,BA,7.301
Teofilândia,BA,21.827
Teolândia,BA,15.919
Terra Nova,BA,11.035
Tremedal,BA,16.691
Tucano,BA,50.959
Uauá,BA,25.441
Ubaíra,BA,19.162
Ubaitaba,BA,17.967
Ubatã,BA,16.097
Uibaí,BA,13.880
Umburanas,BA,13.888
Una,BA,18.403
Urandi,BA,15.794
Uruçuca,BA,22.130
Utinga,BA,16.691
Valença,BA,90.028
Valente,BA,25.126
Várzea da Roça,BA,14.279
Várzea do Poço,BA,8.344
Várzea Nova,BA,13.847
Varzedo,BA,10.296
Vera Cruz,BA,44.978
Vereda,BA,6.171
Vitória da Conquista,BA,394.024
Wagner,BA,9.847
Wanderley,BA,13.436
Wenceslau Guimarães,BA,25.430
Xique-Xique,BA,46.979
Abadia dos Dourados,MG,6.365
Abaeté,MG,23.161
Abre Campo,MG,14.312
Acaiaca,MG,3.997
Açucena,MG,8.995
Água Boa,MG,12.545
Água Comprida,MG,2.165
Aguanil,MG,4.490
Águas Formosas,MG,18.841
Águas Vermelhas,MG,14.486
Aimorés,MG,26.165
Aiuruoca,MG,6.382
Alagoa,MG,2.816
Albertina,MG,3.023
Além Paraíba,MG,31.333
Alfenas,MG,81.950
Alfredo Vasconcelos,MG,7.184
Almenara,MG,41.894
Alpercata,MG,7.029
Alpinópolis,MG,18.672
Alterosa,MG,14.253
Alto Caparaó,MG,5.982
Alto Rio Doce,MG,10.994
Alvarenga,MG,4.012
Alvinópolis,MG,15.360
Alvorada de Minas,MG,4.322
Amparo do Serra,MG,4.595
Andradas,MG,42.282
Cachoeira de Pajeú,MG,9.333
Andrelândia,MG,12.169
Angelândia,MG,7.860
Antônio Carlos,MG,11.345
Antônio Dias,MG,9.388
Antônio Prado de Minas,MG,1.558
Araçaí,MG,2.224
Aracitaba,MG,2.095
Araçuaí,MG,35.250
Araguari,MG,122.874
Arantina,MG,2.991
Araponga,MG,8.218
Araporã,MG,8.935
Arapuá,MG,2.674
Araújos,MG,9.556
Araxá,MG,117.677
Arceburgo,MG,9.348
Arcos,MG,43.348
Areado,MG,14.212
Argirita,MG,2.725
Aricanduva,MG,4.820
Arinos,MG,17.598
Astolfo Dutra,MG,14.565
Ataléia,MG,13.967
Augusto de Lima,MG,4.593
Baependi,MG,18.768
Baldim,MG,7.614
Bambuí,MG,24.144
Bandeira,MG,4.821
Bandeira do Sul,MG,6.146
Barão de Cocais,MG,32.095
Barão de Monte Alto,MG,4.991
Barbacena,MG,129.630
Barra Longa,MG,5.740
Barroso,MG,20.566
Bela Vista de Minas,MG,10.412
Belmiro Braga,MG,3.299
Belo Horizonte,MG,2.416.339
Belo Oriente,MG,24.503
Belo Vale,MG,8.946
Berilo,MG,9.769
Bertópolis,MG,4.546
Berizal,MG,4.277
Betim,MG,429.236
Bias Fortes,MG,3.388
Bicas,MG,14.331
Biquinhas,MG,2.409
Boa Esperança,MG,41.332
Bocaina de Minas,MG,5.508
Bocaiúva,MG,49.668
Bom Despacho,MG,53.995
Bom Jardim de Minas,MG,6.968
Bom Jesus da Penha,MG,4.642
Bom Jesus do Amparo,MG,5.775
Bom Jesus do Galho,MG,14.756
Bom Repouso,MG,13.183
Bom Sucesso,MG,17.510
Bonfim,MG,7.672
Bonfinópolis de Minas,MG,5.615
Bonito de Minas,MG,10.491
Borda da Mata,MG,17.811
Botelhos,MG,15.137
Botumirim,MG,5.841
Brasilândia de Minas,MG,15.432
Brasília de Minas,MG,33.188
Brás Pires,MG,4.314
Braúnas,MG,4.475
Brazópolis,MG,14.506
Brumadinho,MG,40.777
Bueno Brandão,MG,11.161
Buenópolis,MG,9.229
Bugre,MG,4.149
Buritis,MG,24.693
Buritizeiro,MG,24.068
Cabeceira Grande,MG,6.797
Cabo Verde,MG,11.396
Cachoeira da Prata,MG,3.781
Cachoeira de Minas,MG,12.248
Cachoeira Dourada,MG,2.346
Caetanópolis,MG,11.832
Caeté,MG,39.850
Caiana,MG,5.463
Cajuri,MG,4.186
Caldas,MG,14.588
Camacho,MG,2.867
Camanducaia,MG,27.551
Cambuí,MG,30.870
Cambuquira,MG,12.560
Campanário,MG,2.917
Campanha,MG,16.334
Campestre,MG,21.143
Campina Verde,MG,18.250
Campo Azul,MG,3.802
Campo Belo,MG,53.943
Campo do Meio,MG,11.624
Campo Florido,MG,8.838
Campos Altos,MG,13.136
Campos Gerais,MG,26.809
Canaã,MG,4.832
Canápolis,MG,10.755
Cana Verde,MG,5.356
Candeias,MG,14.236
Cantagalo,MG,4.039
Caparaó,MG,5.144
Capela Nova,MG,4.416
Capelinha,MG,41.536
Capetinga,MG,6.652
Capim Branco,MG,11.105
Capinópolis,MG,14.899
Capitão Andrade,MG,4.650
Capitão Enéas,MG,14.401
Capitólio,MG,10.863
Caputira,MG,9.128
Caraí,MG,19.654
Caranaíba,MG,2.960
Carandaí,MG,24.368
Carangola,MG,32.165
Caratinga,MG,90.687
Carbonita,MG,8.633
Careaçu,MG,7.029
Carlos Chagas,MG,18.852
Carmésia,MG,2.682
Carmo da Cachoeira,MG,11.776
Carmo da Mata,MG,11.279
Carmo de Minas,MG,14.114
Carmo do Cajuru,MG,24.376
Carmo do Paranaíba,MG,29.899
Carmo do Rio Claro,MG,21.464
Carmópolis de Minas,MG,18.498
Carneirinho,MG,9.630
Carrancas,MG,4.153
Carvalhópolis,MG,3.417
Carvalhos,MG,4.507
Casa Grande,MG,2.260
Cascalho Rico,MG,2.757
Cássia,MG,17.495
Conceição da Barra de Minas,MG,3.596
Cataguases,MG,67.872
Catas Altas,MG,5.668
Catas Altas da Noruega,MG,3.141
Catuji,MG,7.226
Catuti,MG,4.805
Caxambu,MG,21.436
Cedro do Abaeté,MG,1.091
Central de Minas,MG,6.243
Centralina,MG,10.440
Chácara,MG,3.177
Chalé,MG,6.261
Chapada do Norte,MG,10.024
Chapada Gaúcha,MG,12.810
Chiador,MG,2.865
Cipotânea,MG,5.599
Claraval,MG,4.777
Claro dos Poções,MG,7.259
Cláudio,MG,31.665
Coimbra,MG,7.285
Coluna,MG,8.251
Comendador Gomes,MG,2.813
Comercinho,MG,6.627
Conceição da Aparecida,MG,10.668
Conceição das Pedras,MG,2.837
Conceição das Alagoas,MG,29.949
Conceição de Ipanema,MG,4.503
Conceição do Mato Dentro,MG,24.254
Conceição do Pará,MG,5.567
Conceição do Rio Verde,MG,12.780
Conceição dos Ouros,MG,11.183
Cônego Marinho,MG,7.420
Confins,MG,7.676
Congonhal,MG,11.403
Congonhas,MG,54.986
Congonhas do Norte,MG,4.927
Conquista,MG,6.864
Conselheiro Lafaiete,MG,137.980
Conselheiro Pena,MG,21.113
Consolação,MG,1.578
Contagem,MG,649.975
Coqueiral,MG,9.197
Coração de Jesus,MG,26.151
Cordisburgo,MG,7.592
Cordislândia,MG,3.247
Corinto,MG,23.996
Coroaci,MG,11.200
Coromandel,MG,30.013
Coronel Fabriciano,MG,108.551
Coronel Murta,MG,8.283
Coronel Pacheco,MG,2.799
Coronel Xavier Chaves,MG,3.586
Córrego Danta,MG,2.978
Córrego do Bom Jesus,MG,4.429
Córrego Fundo,MG,6.310
Córrego Novo,MG,2.912
Couto de Magalhães de Minas,MG,4.346
Crisólita,MG,5.296
Cristais,MG,12.576
Cristália,MG,5.165
Cristiano Otoni,MG,4.735
Cristina,MG,10.627
Crucilândia,MG,5.633
Cruzeiro da Fortaleza,MG,3.610
Cruzília,MG,15.779
Cuparaque,MG,3.994
Curral de Dentro,MG,7.630
Curvelo,MG,83.862
Datas,MG,5.618
Delfim Moreira,MG,8.130
Delfinópolis,MG,8.760
Delta,MG,11.003
Descoberto,MG,5.058
Desterro de Entre Rios,MG,7.900
Desterro do Melo,MG,3.059
Diamantina,MG,49.353
Diogo de Vasconcelos,MG,3.596
Dionísio,MG,6.789
Divinésia,MG,4.426
Divino,MG,21.329
Divino das Laranjeiras,MG,4.186
Divinolândia de Minas,MG,6.607
Divinópolis,MG,242.328
Divisa Alegre,MG,6.513
Divisa Nova,MG,5.993
Divisópolis,MG,10.585
Dom Bosco,MG,3.767
Dom Cavati,MG,4.981
Dom Joaquim,MG,5.051
Dom Silvério,MG,5.350
Dom Viçoso,MG,3.176
Dona Euzébia,MG,6.241
Dores de Campos,MG,10.313
Dores de Guanhães,MG,5.121
Dores do Indaiá,MG,12.786
Dores do Turvo,MG,5.159
Doresópolis,MG,1.496
Douradoquara,MG,1.869
Durandé,MG,8.038
Elói Mendes,MG,27.343
Engenheiro Caldas,MG,14.308
Engenheiro Navarro,MG,6.411
Entre Folhas,MG,5.293
Entre Rios de Minas,MG,15.120
Ervália,MG,20.951
Esmeraldas,MG,91.573
Espera Feliz,MG,24.761
Espinosa,MG,31.385
Espírito Santo do Dourado,MG,7.007
Estiva,MG,11.836
Estrela Dalva,MG,2.204
Estrela do Indaiá,MG,2.750
Estrela do Sul,MG,6.926
Eugenópolis,MG,11.075
Ewbank da Câmara,MG,3.977
Extrema,MG,57.913
Fama,MG,2.662
Faria Lemos,MG,3.239
Felício dos Santos,MG,5.248
São Gonçalo do Rio Preto,MG,3.098
Felisburgo,MG,6.592
Felixlândia,MG,14.279
Fernandes Tourinho,MG,2.825
Ferros,MG,9.666
Fervedouro,MG,10.693
Florestal,MG,8.386
Formiga,MG,70.668
Formoso,MG,8.103
Fortaleza de Minas,MG,3.485
Fortuna de Minas,MG,3.207
Francisco Badaró,MG,7.208
Francisco Dumont,MG,4.564
Francisco Sá,MG,23.819
Franciscópolis,MG,5.062
Frei Gaspar,MG,5.741
Frei Inocêncio,MG,8.334
Frei Lagonegro,MG,3.475
Fronteira,MG,14.909
Fronteira dos Vales,MG,4.405
Fruta de Leite,MG,4.607
Frutal,MG,60.942
Funilândia,MG,4.886
Galiléia,MG,6.281
Gameleiras,MG,4.863
Glaucilândia,MG,2.991
Goiabeira,MG,2.869
Goianá,MG,4.190
Gonçalves,MG,4.891
Gonzaga,MG,5.271
Gouveia,MG,11.549
Governador Valadares,MG,266.649
Grão Mogol,MG,14.091
Grupiara,MG,1.426
Guanhães,MG,33.434
Guapé,MG,14.073
Guaraciaba,MG,9.921
Guaraciama,MG,5.203
Guaranésia,MG,19.611
Guarani,MG,7.780
Guarará,MG,3.132
Guarda-Mor,MG,6.684
Guaxupé,MG,52.621
Guidoval,MG,7.284
Guimarânia,MG,8.808
Guiricema,MG,7.850
Gurinhatã,MG,5.203
Heliodora,MG,6.274
Iapu,MG,12.486
Ibertioga,MG,5.334
Ibiá,MG,22.596
Ibiaí,MG,6.254
Ibiracatu,MG,5.139
Ibiraci,MG,11.057
Ibirité,MG,178.713
Ibitiúra de Minas,MG,3.439
Ibituruna,MG,2.740
Icaraí de Minas,MG,10.912
Igarapé,MG,48.475
Igaratinga,MG,11.252
Iguatama,MG,6.845
Ijaci,MG,7.291
Ilicínea,MG,13.171
Imbé de Minas,MG,7.208
Inconfidentes,MG,7.510
Indaiabira,MG,6.379
Indianópolis,MG,6.309
Ingaí,MG,2.633
Inhapim,MG,23.000
Inhaúma,MG,6.435
Inimutaba,MG,7.587
Ipaba,MG,17.554
Ipanema,MG,20.095
Ipatinga,MG,235.445
Ipiaçu,MG,3.823
Ipuiúna,MG,9.299
Iraí de Minas,MG,7.423
Itabira,MG,117.747
Itabirinha,MG,10.560
Itabirito,MG,55.877
Itacambira,MG,4.265
Itacarambi,MG,17.521
Itaguara,MG,14.325
Itaipé,MG,10.549
Itajubá,MG,96.632
Itamarandiba,MG,34.137
Itamarati de Minas,MG,3.730
Itambacuri,MG,21.296
Itambé do Mato Dentro,MG,2.175
Itamogi,MG,11.062
Itamonte,MG,15.193
Itanhandu,MG,15.684
Itanhomi,MG,11.298
Itaobim,MG,19.354
Itapagipe,MG,14.004
Itapecerica,MG,21.462
Itapeva,MG,13.332
Itatiaiuçu,MG,13.603
Itaú de Minas,MG,14.655
Itaúna,MG,102.500
Itaverava,MG,5.752
Itinga,MG,13.982
Itueta,MG,6.218
Ituiutaba,MG,106.397
Itumirim,MG,6.845
Iturama,MG,40.011
Itutinga,MG,4.347
Jaboticatubas,MG,21.214
Jacinto,MG,11.169
Jacuí,MG,7.663
Jacutinga,MG,26.705
Jaguaraçu,MG,3.173
Jaíba,MG,39.379
Jampruca,MG,4.306
Janaúba,MG,73.281
Januária,MG,67.087
Japaraíba,MG,4.672
Japonvar,MG,8.357
Jeceaba,MG,6.428
Jenipapo de Minas,MG,6.124
Jequeri,MG,12.652
Jequitaí,MG,6.460
Jequitibá,MG,6.098
Jequitinhonha,MG,24.509
Jesuânia,MG,5.296
Joaíma,MG,14.084
Joanésia,MG,4.304
João Monlevade,MG,83.360
João Pinheiro,MG,48.532
Joaquim Felício,MG,3.891
Jordânia,MG,10.536
José Gonçalves de Minas,MG,3.993
José Raydan,MG,4.352
Josenópolis,MG,3.607
Nova União,MG,6.083
Juatuba,MG,32.726
Juiz de Fora,MG,565.764
Juramento,MG,3.815
Juruaia,MG,11.543
Juvenília,MG,5.929
Ladainha,MG,14.399
Lagamar,MG,6.672
Lagoa da Prata,MG,53.583
Lagoa dos Patos,MG,3.285
Lagoa Dourada,MG,13.116
Lagoa Formosa,MG,19.507
Lagoa Grande,MG,9.210
Lagoa Santa,MG,79.981
Lajinha,MG,21.422
Lambari,MG,20.950
Lamim,MG,3.226
Laranjal,MG,6.042
Lassance,MG,7.358
Lavras,MG,109.884
Leandro Ferreira,MG,3.270
Leme do Prado,MG,4.387
Leopoldina,MG,52.696
Liberdade,MG,4.775
Lima Duarte,MG,17.712
Limeira do Oeste,MG,9.087
Lontra,MG,8.968
Luisburgo,MG,7.195
Luislândia,MG,6.329
Luminárias,MG,5.731
Luz,MG,18.304
Machacalis,MG,6.579
Machado,MG,38.831
Madre de Deus de Minas,MG,5.341
Malacacheta,MG,17.751
Mamonas,MG,6.096
Manga,MG,19.188
Manhuaçu,MG,96.545
Manhumirim,MG,20.970
Mantena,MG,27.358
Maravilhas,MG,7.518
Mar de Espanha,MG,13.119
Maria da Fé,MG,14.557
Mariana,MG,64.058
Marilac,MG,4.320
Mário Campos,MG,16.546
Maripá de Minas,MG,3.532
Marliéria,MG,4.761
Marmelópolis,MG,3.299
Martinho Campos,MG,14.461
Martins Soares,MG,8.725
Mata Verde,MG,9.458
Materlândia,MG,3.982
Mateus Leme,MG,40.239
Matias Barbosa,MG,14.501
Matias Cardoso,MG,8.975
Matipó,MG,19.054
Mato Verde,MG,12.238
Matozinhos,MG,39.291
Matutina,MG,3.907
Medeiros,MG,4.040
Medina,MG,20.492
Mendes Pimentel,MG,5.651
Mercês,MG,10.609
Mesquita,MG,5.038
Minas Novas,MG,24.191
Minduri,MG,3.815
Mirabela,MG,14.029
Miradouro,MG,9.026
Miraí,MG,13.922
Miravânia,MG,4.011
Moeda,MG,5.291
Moema,MG,7.778
Monjolos,MG,2.196
Monsenhor Paulo,MG,8.550
Montalvânia,MG,14.160
Monte Alegre de Minas,MG,20.666
Monte Azul,MG,20.577
Monte Belo,MG,13.340
Monte Carmelo,MG,49.354
Monte Formoso,MG,4.449
Monte Santo de Minas,MG,21.301
Montes Claros,MG,434.321
Monte Sião,MG,24.933
Montezuma,MG,6.979
Morada Nova de Minas,MG,9.364
Morro da Garça,MG,2.438
Morro do Pilar,MG,3.174
Munhoz,MG,7.857
Muriaé,MG,108.161
Mutum,MG,28.670
Muzambinho,MG,22.527
Nacip Raydan,MG,2.437
Nanuque,MG,35.554
Naque,MG,6.442
Natalândia,MG,3.626
Natércia,MG,4.800
Nazareno,MG,8.390
Nepomuceno,MG,25.774
Ninheira,MG,10.915
Nova Belém,MG,3.156
Nova Era,MG,17.807
Nova Lima,MG,119.142
Nova Módica,MG,3.731
Nova Ponte,MG,15.113
Nova Porteirinha,MG,6.780
Nova Resende,MG,16.854
Nova Serrana,MG,112.910
Novo Cruzeiro,MG,27.453
Novo Oriente de Minas,MG,10.501
Novorizonte,MG,4.630
Olaria,MG,1.986
Olhos-d'Água,MG,5.520
Olímpio Noronha,MG,2.616
Oliveira,MG,40.552
Oliveira Fortes,MG,2.062
Onça de Pitangui,MG,3.027
Oratórios,MG,5.076
Orizânia,MG,8.759
Ouro Branco,MG,40.411
Ouro Fino,MG,33.227
Ouro Preto,MG,77.601
Ouro Verde de Minas,MG,5.858
Padre Carvalho,MG,5.085
Padre Paraíso,MG,17.537
Paineiras,MG,4.273
Pains,MG,8.341
Pai Pedro,MG,5.634
Paiva,MG,1.498
Palma,MG,5.742
Palmópolis,MG,6.373
Papagaios,MG,14.207
Paracatu,MG,98.397
Pará de Minas,MG,102.033
Paraguaçu,MG,22.357
Paraisópolis,MG,21.005
Paraopeba,MG,24.800
Passabém,MG,1.617
Passa Quatro,MG,15.842
Passa Tempo,MG,8.696
Passa Vinte,MG,2.301
Passos,MG,116.530
Patis,MG,4.863
Patos de Minas,MG,167.870
Patrocínio,MG,93.852
Patrocínio do Muriaé,MG,5.735
Paula Cândido,MG,8.786
Paulistas,MG,4.429
Pavão,MG,8.168
Peçanha,MG,17.843
Pedra Azul,MG,24.999
Pedra Bonita,MG,7.559
Pedra do Anta,MG,3.371
Pedra do Indaiá,MG,4.232
Pedra Dourada,MG,2.883
Pedralva,MG,10.924
Pedras de Maria da Cruz,MG,10.619
Pedrinópolis,MG,3.404
Pedro Leopoldo,MG,64.910
Pedro Teixeira,MG,1.854
Pequeri,MG,3.448
Pequi,MG,4.258
Perdigão,MG,12.925
Perdizes,MG,17.830
Perdões,MG,21.991
Periquito,MG,6.647
Pescador,MG,3.587
Piau,MG,2.854
Piedade de Caratinga,MG,8.883
Piedade de Ponte Nova,MG,4.056
Piedade do Rio Grande,MG,4.697
Piedade dos Gerais,MG,5.175
Pimenta,MG,8.794
Pingo-d'Água,MG,4.845
Pintópolis,MG,7.231
Piracema,MG,6.884
Pirajuba,MG,5.762
Piranga,MG,17.360
Piranguçu,MG,6.271
Piranguinho,MG,9.451
Pirapetinga,MG,11.408
Pirapora,MG,57.543
Piraúba,MG,11.958
Pitangui,MG,27.734
Piumhi,MG,37.742
Planura,MG,11.484
Poço Fundo,MG,16.791
Poços de Caldas,MG,171.533
Pocrane,MG,8.468
Pompéu,MG,32.305
Ponte Nova,MG,59.569
Ponto Chique,MG,3.807
Ponto dos Volantes,MG,11.077
Porteirinha,MG,38.668
Porto Firme,MG,10.825
Poté,MG,13.751
Pouso Alegre,MG,160.751
Pouso Alto,MG,6.755
Prados,MG,9.327
Prata,MG,29.578
Pratápolis,MG,8.551
Pratinha,MG,3.673
Presidente Bernardes,MG,4.883
Presidente Juscelino,MG,3.493
Presidente Kubitschek,MG,3.154
Presidente Olegário,MG,19.177
Alto Jequitibá,MG,8.596
Prudente de Morais,MG,11.940
Quartel Geral,MG,3.237
Queluzito,MG,1.800
Raposos,MG,16.735
Raul Soares,MG,23.882
Recreio,MG,11.337
Reduto,MG,8.170
Resende Costa,MG,11.520
Resplendor,MG,17.612
Ressaquinha,MG,4.641
Riachinho,MG,6.890
Riacho dos Machados,MG,8.886
Ribeirão das Neves,MG,344.828
Ribeirão Vermelho,MG,4.201
Rio Acima,MG,10.626
Rio Casca,MG,12.921
Rio Doce,MG,2.542
Rio do Prado,MG,4.679
Rio Espera,MG,5.479
Rio Manso,MG,5.727
Rio Novo,MG,8.689
Rio Paranaíba,MG,15.143
Rio Pardo de Minas,MG,29.123
Rio Piracicaba,MG,15.001
Rio Pomba,MG,17.856
Rio Preto,MG,5.240
Rio Vermelho,MG,12.815
Ritápolis,MG,5.115
Rochedo de Minas,MG,2.363
Rodeiro,MG,9.064
Romaria,MG,3.440
Rosário da Limeira,MG,4.896
Rubelita,MG,5.572
Rubim,MG,10.575
Sabará,MG,134.286
Sabinópolis,MG,14.382
Sacramento,MG,27.891
Salinas,MG,41.641
Salto da Divisa,MG,6.164
Santa Bárbara,MG,31.756
Santa Bárbara do Leste,MG,8.737
Santa Bárbara do Monte Verde,MG,3.199
Santa Bárbara do Tugúrio,MG,4.262
Santa Cruz de Minas,MG,8.321
Santa Cruz de Salinas,MG,3.944
Santa Cruz do Escalvado,MG,4.743
Santa Efigênia de Minas,MG,4.067
Santa Fé de Minas,MG,3.551
Santa Helena de Minas,MG,6.059
Santa Juliana,MG,16.568
Santa Luzia,MG,229.483
Santa Margarida,MG,16.903
Santa Maria de Itabira,MG,10.716
Santa Maria do Salto,MG,4.803
Santa Maria do Suaçuí,MG,12.898
Santana da Vargem,MG,6.781
Santana de Cataguases,MG,3.553
Santana de Pirapama,MG,7.079
Santana do Deserto,MG,3.819
Santana do Garambéu,MG,2.175
Santana do Jacaré,MG,4.265
Santana do Manhuaçu,MG,9.236
Santana do Paraíso,MG,48.286
Santana do Riacho,MG,5.579
Santana dos Montes,MG,3.507
Santa Rita de Caldas,MG,8.588
Santa Rita de Jacutinga,MG,4.836
Santa Rita de Minas,MG,6.952
Santa Rita de Ibitipoca,MG,3.344
Santa Rita do Itueto,MG,5.973
Santa Rita do Sapucaí,MG,42.320
Santa Rosa da Serra,MG,3.476
Santa Vitória,MG,21.745
Santo Antônio do Amparo,MG,17.651
Santo Antônio do Aventureiro,MG,3.881
Santo Antônio do Grama,MG,4.342
Santo Antônio do Itambé,MG,3.979
Santo Antônio do Jacinto,MG,10.397
Santo Antônio do Monte,MG,28.358
