municipio,uf,setor,risco,ano,valor,classe
Abadia de Goiás,GO,Saúde,Risco de malária,2020,0.69,Alto
Abadia de Goiás,GO,Segurança Alimentar,Risco de impacto para seca,2015,0.62,Alto
Abadia de Goiás,GO,Impactos para Recursos Hídricos,Seca,2015,0.61,Alto
Abadia de Goiás,GO,Saúde,Risco de leishmaniose,2020,0.57,Médio
Abadia de Goiás,GO,Segurança Energetica,Acesso,2019,0.44,Médio
Abadia de Goiás,GO,Segurança Energetica,DIsponibilidade,2019,0.35,Baixo
Abadia de Goiás,GO,Desastres geo-hídricos,"RIsco de inundações, enxurradas e alagamentos",2015,0.19,Muito baixo
Abadia de Goiás,GO,Segurança Alimentar,Risco de impacto para chuva,2015,0.12,Muito baixo
Abadia de Goiás,GO,Desastres geo-hídricos,Deslizamento de terra,2015,0.12,Muito baixo
Abadia dos Dourados,MG,Saúde,Risco de malária,2020,0.73,Alto
Abadia dos Dourados,MG,Desastres geo-hídricos,"RIsco de inundações, enxurradas e alagamentos",2015,0.6,Alto
Abadia dos Dourados,MG,Segurança Alimentar,Risco de impacto para seca,2015,0.55,Médio
Abadia dos Dourados,MG,Impactos para Recursos Hídricos,Seca,2015,0.54,Médio
Abadia dos Dourados,MG,Desastres geo-hídricos,Deslizamento de terra,2015,0.54,Médio
Abadia dos Dourados,MG,Saúde,Risco de leishmaniose,2020,0.46,Médio
Abadia dos Dourados,MG,Segurança Energetica,DIsponibilidade,2019,0.35,Baixo
Abadia dos Dourados,MG,Segurança Alimentar,Risco de impacto para chuva,2015,0.32,Baixo
Abadia dos Dourados,MG,Segurança Energetica,Acesso,2019,0.26,Baixo
Abadiânia,GO,Saúde,Risco de malária,2020,0.82,Muito alto
Abadiânia,GO,Saúde,Risco de leishmaniose,2020,0.82,Muito alto
Abadiânia,GO,Impactos para Recursos Hídricos,Seca,2015,0.55,Médio
Abadiânia,GO,Segurança Alimentar,Risco de impacto para seca,2015,0.49,Médio
Abadiânia,GO,Desastres geo-hídricos,Deslizamento de terra,2015,0.49,Médio
Abadiânia,GO,Desastres geo-hídricos,"RIsco de inundações, enxurradas e alagamentos",2015,0.47,Médio
Abadiânia,GO,Segurança Energetica,Acesso,2019,0.38,Baixo
Abadiânia,GO,Segurança Energetica,DIsponibilidade,2019,0.35,Baixo
Abadiânia,GO,Segurança Alimentar,Risco de impacto para chuva,2015,0.16,Muito baixo
Abaeté,MG,Saúde,Risco de malária,2020,0.68,Alto
Abaeté,MG,Saúde,Risco de leishmaniose,2020,0.59,Médio
Abaeté,MG,Impactos para Recursos Hídricos,Seca,2015,0.52,Médio
Abaeté,MG,Desastres geo-hídricos,"RIsco de inundações, enxurradas e alagamentos",2015,0.51,Médio
Abaeté,MG,Segurança Alimentar,Risco de impacto para seca,2015,0.42,Médio
Abaeté,MG,Desastres geo-hídricos,Deslizamento de terra,2015,0.4,Médio
Abaeté,MG,Segurança Energetica,DIsponibilidade,2019,0.35,Baixo
Abaeté,MG,Segurança Energetica,Acesso,2019,0.26,Baixo
Abaeté,MG,Segurança Alimentar,Risco de impacto para chuva,2015,0.12,Muito baixo
Abaetetuba,PA,Saúde,Risco de malária,2020,0.95,Muito alto
Abaetetuba,PA,Saúde,Risco de leishmaniose,2020,0.86,Muito alto
Abaetetuba,PA,Desastres geo-hídricos,"RIsco de inundações, enxurradas e alagamentos",2015,0.78,Alto
Abaetetuba,PA,Segurança Energetica,Acesso,2019,0.68,Alto
Abaetetuba,PA,Segurança Alimentar,Risco de impacto para chuva,2015,0.53,Médio
Abaetetuba,PA,Desastres geo-hídricos,Deslizamento de terra,2015,0.48,Médio
Abaetetuba,PA,Segurança Energetica,DIsponibilidade,2019,0.35,Baixo
Abaetetuba,PA,Segurança Alimentar,Risco de impacto para seca,2015,0.27,Baixo
Abaetetuba,PA,Impactos para Recursos Hídricos,Seca,2015,0.23,Baixo
Abaiara,CE,Saúde,Risco de leishmaniose,2020,0.84,Muito alto
Abaiara,CE,Saúde,Risco de malária,2020,0.65,Alto
Abaiara,CE,Segurança Alimentar,Risco de impacto para seca,2015,0.55,Médio
Abaiara,CE,Impactos para Recursos Hídricos,Seca,2015,0.49,Médio
Abaiara,CE,Segurança Alimentar,Risco de impacto para chuva,2015,0.45,Médio
Abaiara,CE,Segurança Energetica,Acesso,2019,0.39,Baixo
Abaiara,CE,Desastres geo-hídricos,"RIsco de inundações, enxurradas e alagamentos",2015,0.37,Baixo
Abaiara,CE,Segurança Energetica,DIsponibilidade,2019,0.31,Baixo
Abaiara,CE,Desastres geo-hídricos,Deslizamento de terra,2015,0.27,Baixo
Abaíra,BA,Saúde,Risco de leishmaniose,2020,0.86,Muito alto
Abaíra,BA,Saúde,Risco de malária,2020,0.66,Alto
Abaíra,BA,Impactos para Recursos Hídricos,Seca,2015,0.59,Médio
Abaíra,BA,Segurança Alimentar,Risco de impacto para seca,2015,0.57,Médio
Abaíra,BA,Desastres geo-hídricos,"RIsco de inundações, enxurradas e alagamentos",2015,0.41,Médio
Abaíra,BA,Desastres geo-hídricos,Deslizamento de terra,2015,0.36,Baixo
Abaíra,BA,Segurança Energetica,Acesso,2019,0.33,Baixo
Abaíra,BA,Segurança Energetica,DIsponibilidade,2019,0.31,Baixo
Abaíra,BA,Segurança Alimentar,Risco de impacto para chuva,2015,0.26,Baixo
Abaré,BA,Segurança Alimentar,Risco de impacto para seca,2015,0.86,Muito alto
Abaré,BA,Saúde,Risco de leishmaniose,2020,0.81,Muito alto
Abaré,BA,Impactos para Recursos Hídricos,Seca,2015,0.58,Médio
Abaré,BA,Desastres geo-hídricos,"RIsco de inundações, enxurradas e alagamentos",2015,0.52,Médio
Abaré,BA,Desastres geo-hídricos,Deslizamento de terra,2015,0.46,Médio
Abaré,BA,Segurança Alimentar,Risco de impacto para chuva,2015,0.39,Baixo
Abaré,BA,Saúde,Risco de malária,2020,0.38,Baixo
Abaré,BA,Segurança Energetica,Acesso,2019,0.33,Baixo
Abaré,BA,Segurança Energetica,DIsponibilidade,2019,0.31,Baixo
Abatiá,PR,Desastres geo-hídricos,"RIsco de inundações, enxurradas e alagamentos",2015,0.56,Médio
Abatiá,PR,Saúde,Risco de leishmaniose,2020,0.55,Médio
Abatiá,PR,Impactos para Recursos Hídricos,Seca,2015,0.44,Médio
Abatiá,PR,Segurança Energetica,Acesso,2019,0.39,Baixo
Abatiá,PR,Segurança Energetica,DIsponibilidade,2019,0.38,Baixo
Abatiá,PR,Desastres geo-hídricos,Deslizamento de terra,2015,0.38,Baixo
Abatiá,PR,Segurança Alimentar,Risco de impacto para chuva,2015,0.33,Baixo
Abatiá,PR,Saúde,Risco de malária,2020,0.32,Baixo
Abatiá,PR,Segurança Alimentar,Risco de impacto para seca,2015,0.27,Baixo
Abdon Batista,SC,Saúde,Risco de leishmaniose,2020,0.61,Alto
Abdon Batista,SC,Segurança Energetica,Acesso,2019,0.44,Médio
Abdon Batista,SC,Segurança Energetica,DIsponibilidade,2019,0.38,Baixo
Abdon Batista,SC,Saúde,Risco de malária,2020,0.24,Baixo
Abdon Batista,SC,Impactos para Recursos Hídricos,Seca,2015,0.11,Muito baixo
Abdon Batista,SC,Segurança Alimentar,Risco de impacto para seca,2015,0,Muito baixo
Abdon Batista,SC,Segurança Alimentar,Risco de impacto para chuva,2015,0,Muito baixo
Abdon Batista,SC,Desastres geo-hídricos,"RIsco de inundações, enxurradas e alagamentos",2015,0,Muito baixo
Abdon Batista,SC,Desastres geo-hídricos,Deslizamento de terra,2015,0,Muito baixo
Abel Figueiredo,PA,Desastres geo-hídricos,"RIsco de inundações, enxurradas e alagamentos",2015,0.67,Alto
Abel Figueiredo,PA,Desastres geo-hídricos,Deslizamento de terra,2015,0.54,Médio
Abel Figueiredo,PA,Segurança Energetica,Acesso,2019,0.52,Médio
Abel Figueiredo,PA,Segurança Alimentar,Risco de impacto para seca,2015,0.39,Baixo
Abel Figueiredo,PA,Segurança Alimentar,Risco de impacto para chuva,2015,0.38,Baixo
Abel Figueiredo,PA,Segurança Energetica,DIsponibilidade,2019,0.35,Baixo
Abel Figueiredo,PA,Impactos para Recursos Hídricos,Seca,2015,0.26,Baixo
Abel Figueiredo,PA,Saúde,Risco de malária,2020,0.23,Baixo
Abel Figueiredo,PA,Saúde,Risco de leishmaniose,2020,0.04,Muito baixo
Abelardo Luz,SC,Segurança Energetica,Acesso,2019,0.44,Médio
Abelardo Luz,SC,Segurança Energetica,DIsponibilidade,2019,0.38,Baixo
Abelardo Luz,SC,Saúde,Risco de malária,2020,0.29,Baixo
Abelardo Luz,SC,Desastres geo-hídricos,"RIsco de inundações, enxurradas e alagamentos",2015,0.27,Baixo
Abelardo Luz,SC,Desastres geo-hídricos,Deslizamento de terra,2015,0.25,Baixo
Abelardo Luz,SC,Segurança Alimentar,Risco de impacto para chuva,2015,0.13,Muito baixo
Abelardo Luz,SC,Saúde,Risco de leishmaniose,2020,0.08,Muito baixo
Abelardo Luz,SC,Segurança Alimentar,Risco de impacto para seca,2015,0.03,Muito baixo
Abelardo Luz,SC,Impactos para Recursos Hídricos,Seca,2015,0,Muito baixo
Abre Campo,MG,Desastres geo-hídricos,"RIsco de inundações, enxurradas e alagamentos",2015,0.73,Alto
Abre Campo,MG,Segurança Alimentar,Risco de impacto para seca,2015,0.66,Alto
Abre Campo,MG,Desastres geo-hídricos,Deslizamento de terra,2015,0.63,Alto
Abre Campo,MG,Impactos para Recursos Hídricos,Seca,2015,0.58,Médio
Abre Campo,MG,Segurança Alimentar,Risco de impacto para chuva,2015,0.44,Médio
Abre Campo,MG,Saúde,Risco de leishmaniose,2020,0.43,Médio
Abre Campo,MG,Segurança Energetica,DIsponibilidade,2019,0.35,Baixo
Abre Campo,MG,Saúde,Risco de malária,2020,0.33,Baixo
Abre Campo,MG,Segurança Energetica,Acesso,2019,0.32,Baixo
Abreu e Lima,PE,Desastres geo-hídricos,Deslizamento de terra,2015,0.99,Muito alto
Abreu e Lima,PE,Desastres geo-hídricos,"RIsco de inundações, enxurradas e alagamentos",2015,0.93,Muito alto
Abreu e Lima,PE,Saúde,Risco de leishmaniose,2020,0.74,Alto
Abreu e Lima,PE,Segurança Alimentar,Risco de impacto para chuva,2015,0.71,Alto
Abreu e Lima,PE,Segurança Alimentar,Risco de impacto para seca,2015,0.52,Médio
Abreu e Lima,PE,Saúde,Risco de malária,2020,0.48,Médio
Abreu e Lima,PE,Impactos para Recursos Hídricos,Seca,2015,0.47,Médio
Abreu e Lima,PE,Segurança Energetica,Acesso,2019,0.47,Médio
Abreu e Lima,PE,Segurança Energetica,DIsponibilidade,2019,0.31,Baixo
Abreulândia,TO,Impactos para Recursos Hídricos,Seca,2015,0.6,Alto
Abreulândia,TO,Desastres geo-hídricos,"RIsco de inundações, enxurradas e alagamentos",2015,0.55,Médio
Abreulândia,TO,Saúde,Risco de leishmaniose,2020,0.54,Médio
Abreulândia,TO,Desastres geo-hídricos,Deslizamento de terra,2015,0.44,Médio
Abreulândia,TO,Segurança Energetica,DIsponibilidade,2019,0.35,Baixo
Abreulândia,TO,Saúde,Risco de malária,2020,0.35,Baixo
Abreulândia,TO,Segurança Energetica,Acesso,2019,0.34,Baixo
Abreulândia,TO,Segurança Alimentar,Risco de impacto para chuva,2015,0.22,Baixo
Abreulândia,TO,Segurança Alimentar,Risco de impacto para seca,2015,0.1,Muito baixo
Acaiaca,MG,Saúde,Risco de leishmaniose,2020,0.68,Alto
Acaiaca,MG,Impactos para Recursos Hídricos,Seca,2015,0.54,Médio
Acaiaca,MG,Segurança Alimentar,Risco de impacto para chuva,2015,0.42,Médio
Acaiaca,MG,Desastres geo-hídricos,"RIsco de inundações, enxurradas e alagamentos",2015,0.4,Médio
Acaiaca,MG,Desastres geo-hídricos,Deslizamento de terra,2015,0.38,Baixo
Acaiaca,MG,Segurança Energetica,Acesso,2019,0.36,Baixo
Acaiaca,MG,Segurança Alimentar,Risco de impacto para seca,2015,0.36,Baixo
Acaiaca,MG,Segurança Energetica,DIsponibilidade,2019,0.35,Baixo
Acaiaca,MG,Saúde,Risco de malária,2020,0.33,Baixo
Açailândia,MA,Saúde,Risco de malária,2020,0.9,Muito alto
Açailândia,MA,Saúde,Risco de leishmaniose,2020,0.79,Alto
Açailândia,MA,Desastres geo-hídricos,"RIsco de inundações, enxurradas e alagamentos",2015,0.67,Alto
Açailândia,MA,Desastres geo-hídricos,Deslizamento de terra,2015,0.66,Alto
Açailândia,MA,Segurança Energetica,Acesso,2019,0.49,Médio
Açailândia,MA,Segurança Energetica,DIsponibilidade,2019,0.35,Baixo
Açailândia,MA,Segurança Alimentar,Risco de impacto para chuva,2015,0.31,Baixo
Açailândia,MA,Impactos para Recursos Hídricos,Seca,2015,0.27,Baixo
Açailândia,MA,Segurança Alimentar,Risco de impacto para seca,2015,0.22,Baixo
Acajutiba,BA,Saúde,Risco de leishmaniose,2020,0.86,Muito alto
Acajutiba,BA,Saúde,Risco de malária,2020,0.79,Alto
Acajutiba,BA,Segurança Alimentar,Risco de impacto para chuva,2015,0.67,Alto
Acajutiba,BA,Desastres geo-hídricos,"RIsco de inundações, enxurradas e alagamentos",2015,0.56,Médio
Acajutiba,BA,Segurança Energetica,Acesso,2019,0.47,Médio
Acajutiba,BA,Desastres geo-hídricos,Deslizamento de terra,2015,0.45,Médio
Acajutiba,BA,Segurança Alimentar,Risco de impacto para seca,2015,0.36,Baixo
Acajutiba,BA,Impactos para Recursos Hídricos,Seca,2015,0.32,Baixo
Acajutiba,BA,Segurança Energetica,DIsponibilidade,2019,0.31,Baixo
Acará,PA,Saúde,Risco de malária,2020,0.99,Muito alto
Acará,PA,Saúde,Risco de leishmaniose,2020,0.92,Muito alto
Acará,PA,Desastres geo-hídricos,"RIsco de inundações, enxurradas e alagamentos",2015,0.91,Muito alto
Acará,PA,Desastres geo-hídricos,Deslizamento de terra,2015,0.86,Muito alto
Acará,PA,Segurança Energetica,Acesso,2019,0.52,Médio
Acará,PA,Segurança Energetica,DIsponibilidade,2019,0.35,Baixo
Acará,PA,Segurança Alimentar,Risco de impacto para chuva,2015,0.24,Baixo
Acará,PA,Impactos para Recursos Hídricos,Seca,2015,0,Muito baixo
Acará,PA,Segurança Alimentar,Risco de impacto para seca,2015,0,Muito baixo
Acarape,CE,Saúde,Risco de malária,2020,0.86,Muito alto
Acarape,CE,Segurança Alimentar,Risco de impacto para seca,2015,0.77,Alto
Acarape,CE,Impactos para Recursos Hídricos,Seca,2015,0.75,Alto
Acarape,CE,Saúde,Risco de leishmaniose,2020,0.74,Alto
Acarape,CE,Desastres geo-hídricos,"RIsco de inundações, enxurradas e alagamentos",2015,0.65,Alto
Acarape,CE,Desastres geo-hídricos,Deslizamento de terra,2015,0.6,Alto
Acarape,CE,Segurança Energetica,Acesso,2019,0.47,Médio
Acarape,CE,Segurança Alimentar,Risco de impacto para chuva,2015,0.47,Médio
Acarape,CE,Segurança Energetica,DIsponibilidade,2019,0.31,Baixo
Acaraú,CE,Saúde,Risco de malária,2020,0.87,Muito alto
Acaraú,CE,Segurança Alimentar,Risco de impacto para seca,2015,0.81,Muito alto
Acaraú,CE,Saúde,Risco de leishmaniose,2020,0.68,Alto
Acaraú,CE,Impactos para Recursos Hídricos,Seca,2015,0.64,Alto
Acaraú,CE,Desastres geo-hídricos,"RIsco de inundações, enxurradas e alagamentos",2015,0.61,Alto
Acaraú,CE,Desastres geo-hídricos,Deslizamento de terra,2015,0.51,Médio
Acaraú,CE,Segurança Energetica,Acesso,2019,0.4,Médio
Acaraú,CE,Segurança Alimentar,Risco de impacto para chuva,2015,0.39,Baixo
Acaraú,CE,Segurança Energetica,DIsponibilidade,2019,0.31,Baixo
Acari,RN,Desastres geo-hídricos,Deslizamento de terra,2015,0.82,Muito alto
Acari,RN,Desastres geo-hídricos,"RIsco de inundações, enxurradas e alagamentos",2015,0.81,Muito alto
Acari,RN,Saúde,Risco de malária,2020,0.76,Alto
Acari,RN,Saúde,Risco de leishmaniose,2020,0.73,Alto
Acari,RN,Impactos para Recursos Hídricos,Seca,2015,0.57,Médio
Acari,RN,Segurança Energetica,DIsponibilidade,2019,0.31,Baixo
Acari,RN,Segurança Energetica,Acesso,2019,0.31,Baixo
Acari,RN,Segurança Alimentar,Risco de impacto para seca,2015,0.29,Baixo
Acari,RN,Segurança Alimentar,Risco de impacto para chuva,2015,0,Muito baixo
Acauã,PI,Saúde,Risco de leishmaniose,2020,0.73,Alto
Acauã,PI,Segurança Alimentar,Risco de impacto para seca,2015,0.67,Alto
Acauã,PI,Impactos para Recursos Hídricos,Seca,2015,0.55,Médio
Acauã,PI,Desastres geo-hídricos,"RIsco de inundações, enxurradas e alagamentos",2015,0.39,Baixo
Acauã,PI,Segurança Energetica,Acesso,2019,0.38,Baixo
Acauã,PI,Segurança Alimentar,Risco de impacto para chuva,2015,0.36,Baixo
Acauã,PI,Saúde,Risco de malária,2020,0.33,Baixo
Acauã,PI,Segurança Energetica,DIsponibilidade,2019,0.31,Baixo
Acauã,PI,Desastres geo-hídricos,Deslizamento de terra,2015,0.24,Baixo
Aceguá,RS,Saúde,Risco de leishmaniose,2020,0.63,Alto
Aceguá,RS,Segurança Energetica,DIsponibilidade,2019,0.38,Baixo
Aceguá,RS,Segurança Energetica,Acesso,2019,0.32,Baixo
Aceguá,RS,Segurança Alimentar,Risco de impacto para seca,2015,0.25,Baixo
Aceguá,RS,Saúde,Risco de malária,2020,0.23,Baixo
Aceguá,RS,Impactos para Recursos Hídricos,Seca,2015,0.16,Muito baixo
Aceguá,RS,Desastres geo-hídricos,"RIsco de inundações, enxurradas e alagamentos",2015,0.12,Muito baixo
Aceguá,RS,Desastres geo-hídricos,Deslizamento de terra,2015,0.08,Muito baixo
Aceguá,RS,Segurança Alimentar,Risco de impacto para chuva,2015,0.04,Muito baixo
Acopiara,CE,Desastres geo-hídricos,"RIsco de inundações, enxurradas e alagamentos",2015,0.85,Muito alto
Acopiara,CE,Saúde,Risco de leishmaniose,2020,0.79,Alto
Acopiara,CE,Segurança Alimentar,Risco de impacto para seca,2015,0.76,Alto
Acopiara,CE,Desastres geo-hídricos,Deslizamento de terra,2015,0.71,Alto
Acopiara,CE,Impactos para Recursos Hídricos,Seca,2015,0.57,Médio
Acopiara,CE,Saúde,Risco de malária,2020,0.44,Médio
Acopiara,CE,Segurança Alimentar,Risco de impacto para chuva,2015,0.37,Baixo
Acopiara,CE,Segurança Energetica,DIsponibilidade,2019,0.31,Baixo
Acopiara,CE,Segurança Energetica,Acesso,2019,0.3,Baixo
Acorizal,MT,Saúde,Risco de malária,2020,0.81,Muito alto
Acorizal,MT,Saúde,Risco de leishmaniose,2020,0.69,Alto
Acorizal,MT,Segurança Alimentar,Risco de impacto para seca,2015,0.5,Médio
Acorizal,MT,Impactos para Recursos Hídricos,Seca,2015,0.44,Médio
Acorizal,MT,Segurança Energetica,DIsponibilidade,2019,0.35,Baixo
Acorizal,MT,Segurança Energetica,Acesso,2019,0.35,Baixo
Acorizal,MT,Segurança Alimentar,Risco de impacto para chuva,2015,0.27,Baixo
Acorizal,MT,Desastres geo-hídricos,"RIsco de inundações, enxurradas e alagamentos",2015,0.27,Baixo
Acorizal,MT,Desastres geo-hídricos,Deslizamento de terra,2015,0.14,Muito baixo
Acrelândia,AC,Saúde,Risco de malária,2020,0.84,Muito alto
Acrelândia,AC,Segurança Energetica,Acesso,2019,0.47,Médio
Acrelândia,AC,Desastres geo-hídricos,"RIsco de inundações, enxurradas e alagamentos",2015,0.36,Baixo
Acrelândia,AC,Segurança Energetica,DIsponibilidade,2019,0.35,Baixo
Acrelândia,AC,Segurança Alimentar,Risco de impacto para seca,2015,0.33,Baixo
Acrelândia,AC,Desastres geo-hídricos,Deslizamento de terra,2015,0.25,Baixo
Acrelândia,AC,Segurança Alimentar,Risco de impacto para chuva,2015,0.2,Baixo
Acrelândia,AC,Impactos para Recursos Hídricos,Seca,2015,0.18,Muito baixo
Acrelândia,AC,Saúde,Risco de leishmaniose,2020,0.16,Muito baixo
Acreúna,GO,Saúde,Risco de malária,2020,0.63,Alto
Acreúna,GO,Impactos para Recursos Hídricos,Seca,2015,0.46,Médio
Acreúna,GO,Desastres geo-hídricos,"RIsco de inundações, enxurradas e alagamentos",2015,0.44,Médio
Acreúna,GO,Segurança Energetica,DIsponibilidade,2019,0.35,Baixo
Acreúna,GO,Segurança Alimentar,Risco de impacto para seca,2015,0.35,Baixo
Acreúna,GO,Segurança Energetica,Acesso,2019,0.32,Baixo
Acreúna,GO,Desastres geo-hídricos,Deslizamento de terra,2015,0.32,Baixo
Acreúna,GO,Saúde,Risco de leishmaniose,2020,0.15,Muito baixo
Acreúna,GO,Segurança Alimentar,Risco de impacto para chuva,2015,0.04,Muito baixo
Açu,RN,Desastres geo-hídricos,"RIsco de inundações, enxurradas e alagamentos",2015,0.84,Muito alto
Açu,RN,Desastres geo-hídricos,Deslizamento de terra,2015,0.81,Muito alto
Açu,RN,Segurança Alimentar,Risco de impacto para seca,2015,0.71,Alto
Açu,RN,Saúde,Risco de malária,2020,0.7,Alto
Açu,RN,Saúde,Risco de leishmaniose,2020,0.66,Alto
Açu,RN,Impactos para Recursos Hídricos,Seca,2015,0.56,Médio
Açu,RN,Segurança Alimentar,Risco de impacto para chuva,2015,0.36,Baixo
Açu,RN,Segurança Energetica,Acesso,2019,0.35,Baixo
Açu,RN,Segurança Energetica,DIsponibilidade,2019,0.31,Baixo
Açucena,MG,Saúde,Risco de leishmaniose,2020,0.61,Alto
Açucena,MG,Desastres geo-hídricos,Deslizamento de terra,2015,0.54,Médio
Açucena,MG,Impactos para Recursos Hídricos,Seca,2015,0.47,Médio
Açucena,MG,Desastres geo-hídricos,"RIsco de inundações, enxurradas e alagamentos",2015,0.46,Médio
Açucena,MG,Saúde,Risco de malária,2020,0.36,Baixo
Açucena,MG,Segurança Energetica,DIsponibilidade,2019,0.35,Baixo
Açucena,MG,Segurança Energetica,Acesso,2019,0.31,Baixo
Açucena,MG,Segurança Alimentar,Risco de impacto para chuva,2015,0.31,Baixo
Açucena,MG,Segurança Alimentar,Risco de impacto para seca,2015,0.28,Baixo
Adamantina,SP,Saúde,Risco de leishmaniose,2020,0.74,Alto
Adamantina,SP,Impactos para Recursos Hídricos,Seca,2015,0.57,Médio
Adamantina,SP,Desastres geo-hídricos,"RIsco de inundações, enxurradas e alagamentos",2015,0.52,Médio
Adamantina,SP,Segurança Alimentar,Risco de impacto para chuva,2015,0.47,Médio
Adamantina,SP,Segurança Alimentar,Risco de impacto para seca,2015,0.46,Médio
Adamantina,SP,Segurança Energetica,Acesso,2019,0.42,Médio
Adamantina,SP,Desastres geo-hídricos,Deslizamento de terra,2015,0.38,Baixo
Adamantina,SP,Segurança Energetica,DIsponibilidade,2019,0.35,Baixo
Adamantina,SP,Saúde,Risco de malária,2020,0.11,Muito baixo
Adelândia,GO,Saúde,Risco de malária,2020,0.57,Médio
Adelândia,GO,Impactos para Recursos Hídricos,Seca,2015,0.52,Médio
Adelândia,GO,Segurança Alimentar,Risco de impacto para seca,2015,0.5,Médio
Adelândia,GO,Desastres geo-hídricos,"RIsco de inundações, enxurradas e alagamentos",2015,0.46,Médio
Adelândia,GO,Segurança Alimentar,Risco de impacto para chuva,2015,0.44,Médio
Adelândia,GO,Desastres geo-hídricos,Deslizamento de terra,2015,0.41,Médio
Adelândia,GO,Segurança Energetica,Acesso,2019,0.39,Baixo
Adelândia,GO,Segurança Energetica,DIsponibilidade,2019,0.35,Baixo
Adelândia,GO,Saúde,Risco de leishmaniose,2020,0,Muito baixo
Adolfo,SP,Impactos para Recursos Hídricos,Seca,2015,0.53,Médio
Adolfo,SP,Segurança Alimentar,Risco de impacto para seca,2015,0.44,Médio
Adolfo,SP,Segurança Energetica,DIsponibilidade,2019,0.35,Baixo
Adolfo,SP,Saúde,Risco de malária,2020,0.34,Baixo
Adolfo,SP,Segurança Energetica,Acesso,2019,0.31,Baixo
Adolfo,SP,Segurança Alimentar,Risco de impacto para chuva,2015,0.27,Baixo
Adolfo,SP,Desastres geo-hídricos,"RIsco de inundações, enxurradas e alagamentos",2015,0.2,Baixo
Adolfo,SP,Desastres geo-hídricos,Deslizamento de terra,2015,0.13,Muito baixo
Adolfo,SP,Saúde,Risco de leishmaniose,2020,0,Muito baixo
Adrianópolis,PR,Saúde,Risco de malária,2020,0.58,Médio
Adrianópolis,PR,Saúde,Risco de leishmaniose,2020,0.55,Médio
Adrianópolis,PR,Segurança Energetica,DIsponibilidade,2019,0.38,Baixo
Adrianópolis,PR,Desastres geo-hídricos,"RIsco de inundações, enxurradas e alagamentos",2015,0.38,Baixo
Adrianópolis,PR,Desastres geo-hídricos,Deslizamento de terra,2015,0.35,Baixo
Adrianópolis,PR,Segurança Energetica,Acesso,2019,0.33,Baixo
Adrianópolis,PR,Segurança Alimentar,Risco de impacto para chuva,2015,0.19,Muito baixo
Adrianópolis,PR,Segurança Alimentar,Risco de impacto para seca,2015,0.02,Muito baixo
Adrianópolis,PR,Impactos para Recursos Hídricos,Seca,2015,0,Muito baixo
Adustina,BA,Saúde,Risco de leishmaniose,2020,0.9,Muito alto
Adustina,BA,Saúde,Risco de malária,2020,0.74,Alto
Adustina,BA,Segurança Alimentar,Risco de impacto para chuva,2015,0.57,Médio
Adustina,BA,Segurança Alimentar,Risco de impacto para seca,2015,0.47,Médio
Adustina,BA,Segurança Energetica,Acesso,2019,0.36,Baixo
Adustina,BA,Desastres geo-hídricos,"RIsco de inundações, enxurradas e alagamentos",2015,0.34,Baixo
Adustina,BA,Segurança Energetica,DIsponibilidade,2019,0.31,Baixo
Adustina,BA,Desastres geo-hídricos,Deslizamento de terra,2015,0.29,Baixo
Adustina,BA,Impactos para Recursos Hídricos,Seca,2015,0.24,Baixo
Afogados da Ingazeira,PE,Saúde,Risco de leishmaniose,2020,0.8,Muito alto
Afogados da Ingazeira,PE,Desastres geo-hídricos,"RIsco de inundações, enxurradas e alagamentos",2015,0.7,Alto
Afogados da Ingazeira,PE,Desastres geo-hídricos,Deslizamento de terra,2015,0.65,Alto
Afogados da Ingazeira,PE,Saúde,Risco de malária,2020,0.64,Alto
Afogados da Ingazeira,PE,Impactos para Recursos Hídricos,Seca,2015,0.6,Alto
Afogados da Ingazeira,PE,Segurança Alimentar,Risco de impacto para seca,2015,0.51,Médio
Afogados da Ingazeira,PE,Segurança Energetica,Acesso,2019,0.45,Médio
Afogados da Ingazeira,PE,Segurança Alimentar,Risco de impacto para chuva,2015,0.45,Médio
Afogados da Ingazeira,PE,Segurança Energetica,DIsponibilidade,2019,0.31,Baixo
Afonso Bezerra,RN,Saúde,Risco de leishmaniose,2020,0.71,Alto
Afonso Bezerra,RN,Saúde,Risco de malária,2020,0.7,Alto
Afonso Bezerra,RN,Segurança Alimentar,Risco de impacto para seca,2015,0.64,Alto
Afonso Bezerra,RN,Desastres geo-hídricos,"RIsco de inundações, enxurradas e alagamentos",2015,0.62,Alto
Afonso Bezerra,RN,Desastres geo-hídricos,Deslizamento de terra,2015,0.58,Médio
Afonso Bezerra,RN,Impactos para Recursos Hídricos,Seca,2015,0.55,Médio
Afonso Bezerra,RN,Segurança Energetica,Acesso,2019,0.33,Baixo
Afonso Bezerra,RN,Segurança Alimentar,Risco de impacto para chuva,2015,0.33,Baixo
Afonso Bezerra,RN,Segurança Energetica,DIsponibilidade,2019,0.31,Baixo
Afonso Cláudio,ES,Impactos para Recursos Hídricos,Seca,2015,0.66,Alto
Afonso Cláudio,ES,Segurança Alimentar,Risco de impacto para seca,2015,0.61,Alto
Afonso Cláudio,ES,Segurança Alimentar,Risco de impacto para chuva,2015,0.61,Alto
Afonso Cláudio,ES,Saúde,Risco de leishmaniose,2020,0.55,Médio
